Lake;d2H_water_center_Ossin laskut;d2H_benthic_algae;d2H_DOM
Alajärvi;-76.71801289;-181.4523709;-113.9525212
Arkusjärvi;-65.4445781;-220.5391905;-124.1695496
Eräjärvi;-62.6608335;-170.2095201;-113.7577594
Haapajärvi;-83.55015796;-202.9093868;-121.508518
Hiidenvesi;-71.25510281;-152.7682771;-114.800895
Hirvijärvi;-86.37315752;-203.5456703;-107.760777
Horkajärvi;-73.37519532;-142.5071129;-114.9399186
Hämeenjärvi;-68.88224895;-185.4320986;-121.4700782
Joroisselkä;-73.34500745;-153.3400324;-112.6994275
Jyväsjärvi;-83.45084524;-194.7726651;-124.0940115
Kakkisenjärvi;-79.82881359;-191.2552383;-130.6629063
Kakskerranjärvi;-56.83130663;-158.0118785;-131.7775175
Kuhajärvi;-76.315645;-187.2659724;-129.1444457
Kuontijärvi;-87.88111818;-186.0405419;-134.7984345
Köyliönjärvi;-61.91824597;-200.2761938;-142.4634084
Majajärvi;-76.56252309;-176.7680455;-121.4700782
Niemisjärvi;-77.71012315;-194.4016691;-116.1523371
Pankajärvi;-74.0472593;-201.2610854;-116.2142813
Pesosjärvi;-91.44872585;-189.3702142;-133.4173658
Pusulanjärvi;-70.32906975;-141.1266899;-110.1111763
Pyhäjärvi;-74.96111659;-201.8184445;-113.6515428
Pääjärvi;-74.48660347;-221.0771894;-119.966346
Ruokojärvi;-68.82029415;-185.7535365;-135.3495516
Suuri Jukajärvi;-72.59925358;-197.3594394;-114.9539862
Suuri-Vahvanen;-66.04228127;-184.6553704;-124.1695496
Sääksjärvi;-77.98351182;-175.1275408;-117.4659448
Sääskjärvi;-73.865191;-148.3569505;-108.5759211
Tottijärvi;-62.24044408;-131.1880948;-109.6785068
Valkea-Kotinen;-63.7111489;-195.3198371;-121.4700782
Vesijärvi;-65.13213053;-160.825762;-105.7784905
Viippero;-78.98565055;-172.042141;-126.3641323
Viitaanjärvi;-89.03522168;-213.3253782;-127.7570279
Villikkalanjärvi;-74.96111659;-192.7297472;-109.3024963
Ylisjärvi;-60.88686046;-209.8190921;-127.7986925
Älänne;-87.39073096;-204.3207012;-121.9330669
